active,daring
adventurous,dependable
affectionate,happy-go-lucky
afraid,humorous
ambitious,impatient
bossy,noisy
brave,obedient
brilliant,observant
calm,peaceful
courageous,silly
curious,skillful
clever,sly
competitive,smart
confident,sneaky
enthusiastic,stubborn
friendly,studious
generous,talented
independent,talkative
lazy,wise
lovable,witty
